ID,Category,Type,Difficulty,Question / Statement,Created By,번역,한국인_적합도,분류_이유,출제_추천
21402,History,True / False,Medium,There are 13 months in the Ethiopian calendar.,bobcat,에티오피아 달력에는 13개월이 있습니다.,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
20976,History,Multiple Choice,Easy,Who was the first president of Kenya?,sq,케냐의 초대 대통령은 누구인가요?,해외특화,특정 외국의 국내 역사·정치 인물에 관한 지식입니다.,조건부
20189,Entertainment: Video Games,Multiple Choice,Medium,"In the video game ""Pizza Tower"", what is the protagonist's name?",FartingFounder,"비디오 게임 ""피자 타워""에서 주인공의 이름은 무엇인가요?",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
18958,Animals,True / False,Easy,Rabbits can't vomit.,AMSterling,토끼는 토할 수 없습니다.,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
18932,General Knowledge,Multiple Choice,Easy,"Which chemical element, number 11 in the Periodic table, has the symbol Na?",Dev11,주기율표 11번에 Na라는 기호가 있는 화학 원소는 무엇인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
18926,Entertainment: Books,Multiple Choice,Easy,Who was the original author of Frankenstein?,batshake,프랑켄슈타인의 원작자는 누구인가요?,일반,한국에서도 널리 알려진 고전 작품에 관한 문학 상식입니다.,추천
18925,Entertainment: Japanese Anime & Manga,Multiple Choice,Easy,Who was a voice actor for the English dubbing of HOWL'S MOVING CASTLE (2004)?,joon9498,하울의 움직이는 성(2004) 영어 더빙 성우는 누구인가요?,전문/마니아,특정 애니메이션·만화의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
18908,Entertainment: Film,Multiple Choice,Medium,Which actor auditioned for the role of Luke Skywalker?,mje29,루크 스카이워커 역으로 오디션을 본 배우는 누구인가요?,전문/마니아,특정 영화·방송 작품의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
18879,Entertainment: Music,Multiple Choice,Easy,Which of the following songs was not originally released by Sir Elton John?,mixman86,다음 중 Elton John 경이 원래 발표한 노래가 아닌 것은 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
18838,Geography,Multiple Choice,Hard,"What is the county seat of King County, Washington?",PencilVulture,워싱턴 주 킹 카운티의 카운티 소재지는 무엇인가요?,해외특화,특정 외국의 지방 행정구역에 관한 현지 중심 지식입니다.,비추천
18793,General Knowledge,Multiple Choice,Easy,"In Half-Life, what is the name of the alien that attaches to heads?",Whakka,Half-Life에서 머리에 붙은 외계인의 이름은 무엇인가요?,전문/마니아,특정 게임·콘텐츠의 세부 정보를 알아야 풀 수 있습니다.,조건부
18764,Entertainment: Video Games,Multiple Choice,Medium,Who published the 1998 video game Half-Life?,Attaboy20,1998년 비디오 게임 Half-Life를 출시한 사람은 누구인가요?,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
18685,Entertainment: Video Games,Multiple Choice,Hard,The Bracken from Lethal Company is also known as:,Segaman,Lethal Company의 브래컨은 다른 이름으로 무엇이라고 불리나요?,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,비추천
18684,General Knowledge,Multiple Choice,Easy,What is the name of the company in Lethal Company?,Segaman,Lethal Company의 회사 이름은 무엇인가요?,전문/마니아,특정 게임·콘텐츠의 세부 정보를 알아야 풀 수 있습니다.,조건부
18554,Art,Multiple Choice,Easy,What is the name of the Japanese art of folding paper into decorative shapes and figures?,stefanstojkovic,종이를 접어 장식적인 모양과 형태으로 만드는 일본 예술의 이름은 무엇인가요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
18553,Art,Multiple Choice,Easy,"Who painted ""The Starry Night""?",stefanstojkovic,<별이 빛나는 밤>은 누가 그렸나요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
18548,Art,Multiple Choice,Easy,Who sculpted the statue of David?,stefanstojkovic,다윗상을 조각한 사람은 누구인가요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
18545,Art,Multiple Choice,Easy,Who painted the Mona Lisa?,stefanstojkovic,모나리자는 누가 그렸나요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
18526,Science: Gadgets,Multiple Choice,Easy,What does SSD stand for in the context of computer storage?,stefanstojkovic,컴퓨터 스토리지와 관련하여 SSD는 무엇을 의미합니까?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
18523,Science: Gadgets,Multiple Choice,Easy,Which gaming console is developed by Sony?,stefanstojkovic,Sony에서 개발한 게임 콘솔은 무엇인가요?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
18520,General Knowledge,Multiple Choice,Easy,What does VR stand for?,stefanstojkovic,VR은 무엇을 뜻하나요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
18519,Science: Gadgets,Multiple Choice,Easy,Which virtual assistant is developed by Amazon?,stefanstojkovic,Amazon에서 개발한 가상 비서는 무엇인가요?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
18516,Science: Gadgets,Multiple Choice,Easy,Which of the following is not a type of computer mouse?,stefanstojkovic,다음 중 컴퓨터 마우스의 종류가 아닌 것은?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,조건부
18512,Science: Gadgets,Multiple Choice,Easy,What does GPS stand for?,stefanstojkovic,GPS는 무엇을 의미하나요?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
18081,Entertainment: Video Games,Multiple Choice,Hard,"In the alternate timeline in Mortal Kombat, which character was the one to slaughter the Shirai Ryu clan?",Marcelame,Mortal Kombat의 대체 타임라인에서 시라이 류 일족을 학살한 캐릭터는 누구인가요?,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,비추천
17864,History,Multiple Choice,Medium,Where was Abraham Lincoln when he was assassinated by John Wilkes Booth in 1865?,Druss,1865년 에이브러햄 링컨이 존 윌크스 부스에 의해 암살되었을 때 어디에 있었습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
17693,History,Multiple Choice,Hard,Who was the first man to travel into outer space?,Iev,우주로 여행을 떠난 최초의 사람은 누구인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
